[INFO ][2015-11-10 18:13:16,959] [com.java.CreateClient] [main] [  138] - Execution started
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [ 1012] - clientName: Any Bank USA
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [ 1028] - Browser execution details missing:[]
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [ 1042] - Browser execution details exist for client: Any Bank USA are: [IE11]
[DEBUG][2015-11-10 18:14:56,052] [com.java.EmailTestReport] [postMail_Consolidated] [  460] - Sending Consildated report mail for clients
[INFO ][2015-11-10 18:14:56,052] [com.java.EmailTestReport] [postMail_Consolidated] [  495] - ---------------------------
[INFO ][2015-11-10 18:14:56,052] [com.java.EmailTestReport] [postMail_Consolidated] [  496] - clientName: Any Bank USA
[INFO ][2015-11-10 18:14:56,052] [com.java.EmailTestReport] [postMail_Consolidated] [  515] - Browser execution details missing:[]
[INFO ][2015-11-10 18:14:56,052] [com.java.EmailTestReport] [postMail_Consolidated] [  535] - Browser execution details exist for client: Any Bank USA are: [IE11]
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  199] - ------------------------------
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  200] - In client level mail sending:
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  201] - List of browser before removing duplicates:[IE11]
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  210] - List of browser after removing duplicates:[IE11]
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  213] - Client Name:Any Bank USA
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  222] - 
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  237] - smtpHostName :mail01.valuelabs.com
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  238] - recipient :venkateswararao.gubbala@valuelabs.com
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  239] - reportType :Basic
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  240] - from :venkateswararao.gubbala@valuelabs.com
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  241] - subject :Deluxe Corp Bankers Dashboard Automation Test Report - Any Bank USA
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  242] - message :Hi All, <br><br> Below is the summary of Deluxe Corp Bankers Dashboard Test Scripts Execution: <br> &&Counters&& <br><br>Please find the attached Test Report of Deluxe Corp Bankers Dashboard Automation Test Scripts Execution.<br><br> Regards, <br>Automation Team
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  243] - port :25
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  290] - Browser Names in client:[IE11]
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  293] - Browser Name:IE11
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  315] - Browser: <td > IE11 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  316] - URL: <td> https://clients-xuat.bankersdashboard.com </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  317] - Total: <td > 1 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  318] - Passed: <td style="background-color:lightgreen;"> 0 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  319] - Failed: <td  style="background-color:#FA0000; color:#FFFFFF;"> 1 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  320] - Skipped: <td > 0 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  321] - StartTime: <td > Tue Nov 10 18:13:19 IST 2015 </td>
[INFO ][2015-11-10 18:15:00,144] [com.java.EmailTestReport] [postMail_clientLevel] [  322] - EndTime: <td > Tue Nov 10 18:14:51 IST 2015 </td>
[INFO ][2015-11-10 18:15:00,215] [com.java.CreateClient] [stopThreads] [  580] - Thread execution has finished---------------
[DEBUG][2015-11-10 18:15:00,215] [com.java.TemplateGenerator] [writeToHTML] [  895] - Generating consolidated HTML file for all clients
[INFO ][2015-11-10 18:15:00,215] [com.java.TemplateGenerator] [writeToHTML] [  897] - Browser names:[IE11]
[INFO ][2015-11-10 18:15:00,215] [com.java.TemplateGenerator] [writeToHTML] [  898] - Client names:[Any Bank USA]
[INFO ][2015-11-10 18:15:00,225] [com.java.TemplateGenerator] [writeToHTML] [ 1011] - ---------------------------
[INFO ][2015-11-10 18:15:00,225] [com.java.TemplateGenerator] [writeToHTML] [ 1012] - clientName: Any Bank USA
[INFO ][2015-11-10 18:15:00,225] [com.java.TemplateGenerator] [writeToHTML] [ 1028] - Browser execution details missing:[]
[INFO ][2015-11-10 18:15:00,225] [com.java.TemplateGenerator] [writeToHTML] [ 1042] - Browser execution details exist for client: Any Bank USA are: [IE11]
[DEBUG][2015-11-10 18:15:10,225] [com.java.EmailTestReport] [postMail_Consolidated] [  460] - Sending Consildated report mail for clients
[INFO ][2015-11-10 18:15:10,225] [com.java.EmailTestReport] [postMail_Consolidated] [  495] - ---------------------------
[INFO ][2015-11-10 18:15:10,225] [com.java.EmailTestReport] [postMail_Consolidated] [  496] - clientName: Any Bank USA
[INFO ][2015-11-10 18:15:10,225] [com.java.EmailTestReport] [postMail_Consolidated] [  515] - Browser execution details missing:[]
[INFO ][2015-11-10 18:15:10,225] [com.java.EmailTestReport] [postMail_Consolidated] [  535] - Browser execution details exist for client: Any Bank USA are: [IE11]
[INFO ][2015-11-10 18:15:10,296] [com.java.CreateClient] [main] [  412] - Execution completed
